RSCI,Name_URL,URL,Player,URL2,college_nan,URL3,College,from,to,WS,m1,m2,m3,m4,m5,m6
46,Hamidou Diallo (college),https://www.basketball-reference.com/players/d/diallha01.html,Hamidou Diallo,https://www.sports-reference.com/cbb/players/hamidou-diallo-1.html,(college),https://www.basketball-reference.com/friv/colleges.fcgi?college=kentucky,Kentucky,2019,2020,1.2,11,,11,,11,
47,Matt Coleman (college),https://www.sports-reference.com/cbb/players/matt-coleman-3.html,(college),,,https://www.basketball-reference.com/friv/colleges.fcgi?college=texas,Texas,,,,33,31,63,46,66,
48,Chuma Okeke (college),https://www.basketball-reference.com/players/o/okekech01.html,Chuma Okeke,https://www.sports-reference.com/cbb/players/chuma-okeke-1.html,(college),https://www.basketball-reference.com/friv/colleges.fcgi?college=auburn,Auburn,,,,52,50,43,42,59,
49,Rayshaun Hammonds (college),https://www.sports-reference.com/cbb/players/rayshaun-hammonds-1.html,(college),,,https://www.basketball-reference.com/friv/colleges.fcgi?college=georgia,Georgia,,,,48,40,54,53,56,
50,Daejon Davis (college),https://www.sports-reference.com/cbb/players/daejon-davis-1.html,(college),,,https://www.basketball-reference.com/friv/colleges.fcgi?college=stanford,Stanford,,,,49,60,40,50,57,
51,Jericho Sims (college),https://www.sports-reference.com/cbb/players/jericho-sims-1.html,(college),,,https://www.basketball-reference.com/friv/colleges.fcgi?college=texas,Texas,,,,59,67,52,59,36,
52,Jordan Goodwin (college),https://www.sports-reference.com/cbb/players/jordan-goodwin-1.html,(college),,,https://www.basketball-reference.com/friv/colleges.fcgi?college=stlouis,Saint Louis,,,,57,55,56,61,45,
53,Jontay Porter (college),https://www.basketball-reference.com/players/p/portejo01.html,Jontay Porter,https://www.sports-reference.com/cbb/players/jontay-porter-1.html,(college),https://www.basketball-reference.com/friv/colleges.fcgi?college=missouri,Missouri,,,,,25,,25,26,
54,Marcus Garrett (college),https://www.sports-reference.com/cbb/players/marcus-garrett-1.html,(college),,,https://www.basketball-reference.com/friv/colleges.fcgi?college=kansas,Kansas,,,,58,64,70,41,50,
55,Kimani Lawrence (college),https://www.sports-reference.com/cbb/players/kimani-lawrence-1.html,(college),,,https://www.basketball-reference.com/friv/colleges.fcgi?college=arizonast,Arizona State,,,,63,57,58,54,60,
56,Savion Flagg (college),https://www.sports-reference.com/cbb/players/savion-flagg-1.html,(college),,,https://www.basketball-reference.com/friv/colleges.fcgi?college=texasam,Texas A&M,,,,68,81,59,37,52,
57,Naji Marshall (college),https://www.sports-reference.com/cbb/players/naji-marshall-1.html,(college),,,https://www.basketball-reference.com/friv/colleges.fcgi?college=xavier,Xavier,,,,75,70,38,49,77,
58,Davion Mitchell (college),https://www.sports-reference.com/cbb/players/davion-mitchell-1.html,(college),,,https://www.basketball-reference.com/friv/colleges.fcgi?college=auburn,Auburn,,,,64,63,47,63,74,
59,Jordan Tucker (college),https://www.sports-reference.com/cbb/players/jordan-tucker-1.html,(college),,,https://www.basketball-reference.com/friv/colleges.fcgi?college=duke,Duke,,,,47,42,,72,54,
RSCI,,,,,,,,,,,,,,,,
60,Ira Lee (college),https://www.sports-reference.com/cbb/players/ira-lee-1.html,(college),,,https://www.basketball-reference.com/friv/colleges.fcgi?college=arizona,Arizona,,,,66,69,81,60,41,
61,Isaiah Washington (college),https://www.sports-reference.com/cbb/players/isaiah-washington-12.html,(college),,,https://www.basketball-reference.com/friv/colleges.fcgi?college=minnesota,Minnesota,,,,56,68,71,62,64,
62,Josh Anderson (college),https://www.sports-reference.com/cbb/players/josh-anderson-2.html,(college),,,https://www.basketball-reference.com/friv/colleges.fcgi?college=wkentucky,Western Kentucky,,,,73,80,57,56,69,
63,Ike Obiagu (college),https://www.sports-reference.com/cbb/players/ike-obiagu-1.html,(college),,,https://www.basketball-reference.com/friv/colleges.fcgi?college=floridast,Florida State,,,,51,83,50,74,83,
64,Jalen Hill (college),https://www.sports-reference.com/cbb/players/jalen-hill-1.html,(college),,,https://www.basketball-reference.com/friv/colleges.fcgi?college=ucla,UCLA,,,,53,49,100,68,72,
65,Chris Lykes (college),https://www.sports-reference.com/cbb/players/chris-lykes-1.html,(college),,,https://www.basketball-reference.com/friv/colleges.fcgi?college=miamifl,Miami (FL),,,,60,48,97,78,65,
66,Jaylen Nowell (college),https://www.basketball-reference.com/players/n/nowelja01.html,Jaylen Nowell,https://www.sports-reference.com/cbb/players/jaylen-nowell-1.html,(college),https://www.basketball-reference.com/friv/colleges.fcgi?college=washington,Washington,2020,2020,0.2,54,59,89,75,75,
67,Nojel Eastern (college),https://www.sports-reference.com/cbb/players/nojel-eastern-1.html,(college),,,https://www.basketball-reference.com/friv/colleges.fcgi?college=purdue,Purdue,,,,61,84,96,77,58,
68,Nate Reuvers (college),https://www.sports-reference.com/cbb/players/nate-reuvers-1.html,(college),,,https://www.basketball-reference.com/friv/colleges.fcgi?college=wisconsin,Wisconsin,,,,81,86,73,83,55,
69,Alex O'Connell (college),https://www.sports-reference.com/cbb/players/alex-oconnell-1.html,(college),,,https://www.basketball-reference.com/friv/colleges.fcgi?college=duke,Duke,,,,67,87,68,58,100,
70,Bruno Fernando (college),https://www.basketball-reference.com/players/f/fernabr01.html,Bruno Fernando,https://www.sports-reference.com/cbb/players/bruno-fernando-1.html,(college),https://www.basketball-reference.com/friv/colleges.fcgi?college=maryland,Maryland,2020,2020,0.8,,,53,57,71,
71,Darius Perry (college),https://www.sports-reference.com/cbb/players/darius-perry-1.html,(college),,,https://www.basketball-reference.com/friv/colleges.fcgi?college=louisville,Louisville,,,,69,54,85,98,79,
72,Jemarl Baker (college),https://www.sports-reference.com/cbb/players/jemarl-baker-1.html,(college),,,https://www.basketball-reference.com/friv/colleges.fcgi?college=kentucky,Kentucky,,,,62,66,88,82,91,
73,Jordan Nwora (college),https://www.sports-reference.com/cbb/players/jordan-nwora-1.html,(college),,,https://www.basketball-reference.com/friv/colleges.fcgi?college=louisville,Louisville,,,,,56,,94,48,
74,Dhamir Cosby-Roundtree (college),https://www.sports-reference.com/cbb/players/dhamir-cosby-roundtree-1.html,(college),,,https://www.basketball-reference.com/friv/colleges.fcgi?college=villanova,Villanova,,,,55,,74,84,88,
75,D'Shawn Schwartz (college),https://www.sports-reference.com/cbb/players/dshawn-schwartz-1.html,(college),,,https://www.basketball-reference.com/friv/colleges.fcgi?college=colorado,Colorado,,,,86,71,87,70,90,
76,Mitchell Ballock (college),https://www.sports-reference.com/cbb/players/mitchell-ballock-1.html,(college),,,https://www.basketball-reference.com/friv/colleges.fcgi?college=creighton,Creighton,,,,77,,66,64,,
77,Sidney Wilson (college),https://www.sports-reference.com/cbb/players/sidney-wilson-1.html,(college),,,https://www.basketball-reference.com/friv/colleges.fcgi?college=uconn,UConn,,,,,,51,71,87,
78,Jase Febres (college),https://www.sports-reference.com/cbb/players/jase-febres-1.html,(college),,,https://www.basketball-reference.com/friv/colleges.fcgi?college=texas,Texas,,,,,,48,69,,
79,Derek Culver (college),https://www.sports-reference.com/cbb/players/NULL.html,(college),,,,,,,,76,,84,89,76,
RSCI,,,,,,,,,,,,,,,,
T79,Myles Cale (college),https://www.sports-reference.com/cbb/players/myles-cale-1.html,(college),,,https://www.basketball-reference.com/friv/colleges.fcgi?college=setonhall,Seton Hall,,,,71,77,,76,,
81,Wabissa Bede (college),https://www.sports-reference.com/cbb/players/wabissa-bede-1.html,(college),,,https://www.basketball-reference.com/friv/colleges.fcgi?college=vatech,Virginia Tech,,,,85,73,,73,95,
