Field13,Field,Field1,Field2,Field3,Field4,Field5,Field6,Field7,Field8,Field9,Field10,Field11,sortcell,Field12,EWA,Field14,Player
Select Year,Hollinger Stats - Estimated Wins Added - All Players,,,,,,,,,,,,,,,,
Select Year,RK,PLAYER,GP,MPG,TS%,AST,TO,USG,ORR,DRR,REBR,PER,,VA,EWA,,
Select Year,102,"Terry Rozier, CHA",63,34.3,0.553,18.2,9.9,24.2,2.4,11.8,7,14.9,4.2,126.1,4.2,http://insider.espn.go.com/nba/players/hollinger?playerId=3074752,Terry Rozier
Select Year,,"Tim Hardaway Jr., DAL",71,29.5,0.581,11.7,5.9,20.8,1.3,10.2,5.8,14.51,4.2,125.1,4.2,http://insider.espn.go.com/nba/players/hollinger?playerId=2528210,Tim Hardaway Jr.
Select Year,104,"Bogdan Bogdanovic, SAC",61,29,0.565,18.4,9.1,22.7,1.6,11.8,6.6,15.2,4.1,123.9,4.1,http://insider.espn.go.com/nba/players/hollinger?playerId=3037789,Bogdan Bogdanovic
Select Year,105,"Brook Lopez, MIL",68,26.7,0.551,10.9,7.7,17.7,3.4,13,8.5,15.02,4,119.8,4,http://insider.espn.go.com/nba/players/hollinger?playerId=3448,Brook Lopez
Select Year,,"Seth Curry, DAL",64,24.6,0.643,15.4,7.7,18.5,1.8,7.8,4.8,15.59,4,119.7,4,http://insider.espn.go.com/nba/players/hollinger?playerId=2326307,Seth Curry
Select Year,,"Davis Bertans, WSH",54,29.3,0.628,11.3,7.2,18.6,2.3,15.1,8.5,15.53,4,118.8,4,http://insider.espn.go.com/nba/players/hollinger?playerId=6426,Davis Bertans
Select Year,108,"JJ Redick, NO",60,26.4,0.644,13.1,8.3,20.2,0.7,9.5,5.1,15.47,3.9,117.3,3.9,http://insider.espn.go.com/nba/players/hollinger?playerId=3024,JJ Redick
Select Year,,"Jaren Jackson Jr., MEM",57,28.5,0.593,7.7,9.8,23.1,3.6,13.2,8.5,16.33,3.9,117,3.9,http://insider.espn.go.com/nba/players/hollinger?playerId=4277961,Jaren Jackson Jr.
Select Year,,"Myles Turner, IND",62,29.5,0.566,8.8,10.4,17.1,5.2,19.1,12.2,14.87,3.9,116.3,3.9,http://insider.espn.go.com/nba/players/hollinger?playerId=3133628,Myles Turner
Select Year,RK,PLAYER,GP,MPG,TS%,AST,TO,USG,ORR,DRR,REBR,PER,,VA,EWA,,
Select Year,,"Mason Plumlee, DEN",61,17.3,0.613,26,13.8,19.1,10.4,23.2,16.8,18.86,3.9,116.1,3.9,http://insider.espn.go.com/nba/players/hollinger?playerId=2488653,Mason Plumlee
Select Year,112,"Jaxson Hayes, NO",64,16.9,0.689,12.4,11.7,14.8,9.5,16,12.7,17.64,3.8,113.5,3.8,http://insider.espn.go.com/nba/players/hollinger?playerId=4397077,Jaxson Hayes
Select Year,,"George Hill, MIL",59,21.5,0.659,27.4,8.7,16.2,4.1,9.3,6.9,16.97,3.8,113.3,3.8,http://insider.espn.go.com/nba/players/hollinger?playerId=3438,George Hill
Select Year,,"Chris Boucher, TOR",62,13.2,0.587,6.4,6.9,18.8,14.1,21.4,17.9,20.76,3.8,113.2,3.8,http://insider.espn.go.com/nba/players/hollinger?playerId=3948153,Chris Boucher
Select Year,,"Marcus Morris Sr., LAC/NY",62,31.2,0.57,7.9,8.9,15.6,3.2,13.9,8.5,14.4,3.8,112.6,3.8,http://insider.espn.go.com/nba/players/hollinger?playerId=6462,Marcus Morris Sr.
Select Year,116,"Michael Porter Jr., DEN",55,16.4,0.617,9,9.6,21.9,8.2,23.9,16.1,19.84,3.7,112.4,3.7,http://insider.espn.go.com/nba/players/hollinger?playerId=4278104,Michael Porter Jr.
Select Year,,"Caris LeVert, BKN",45,29.6,0.514,17.5,10.4,29.8,3.9,10.6,7.3,16.13,3.7,111.8,3.7,http://insider.espn.go.com/nba/players/hollinger?playerId=2991043,Caris LeVert
